npsn,nama_sekolah,alamat,kelurahan,status,kecamatan,kabupaten,jenjang
60706944,MIS AL KHOERIYAH,Kp. Liud RT 006/003 Desa Kalongliud Kecamatan Nanggung,Kalong Liud,SWASTA,Nanggung,Kab. Bogor,dikdas
60706945,MIS AL KHOERIYAH,Kp.Kalong Karees Ds.Kalongliud,Kalong Liud,SWASTA,Nanggung,Kab. Bogor,dikdas
60706946,MIS ALMA ARIF,Kp. Pabuaran Cidudut RT 003 RW 002,Hambaro,SWASTA,Nanggung,Kab. Bogor,dikdas
60706947,MIS MATHLAUL ANWAR,Kp.Hambaro RT 02/01 Ds.Hambaro,Hambaro,SWASTA,Nanggung,Kab. Bogor,dikdas
60706948,MIS MATHLAUL ANWAR,Kp.Pasir Eurih Rt. 03/04 Ds.Hambaro,Cisarua,SWASTA,Nanggung,Kab. Bogor,dikdas
60706949,MIS MIFTAHUL HUDA,Kp.Jeruk Ds.Sukaluyu Kec. Nanggung Kab. Bogor,Sukaluyu,SWASTA,Nanggung,Kab. Bogor,dikdas
60706950,MIS MUHAMMADIYAH CURUGBITUNG,Kp. Cibeber Kaum RT 02/07 desa Curugbitung,Nanggung,SWASTA,Nanggung,Kab. Bogor,dikdas
60706951,MIS NURUL HIDAYAH,Kp.Sawah Ds.Sukaluyu,Sukaluyu,SWASTA,Nanggung,Kab. Bogor,dikdas
60706952,MIS NURUL HUDA,Kp.Tiga Sekawan Ds.Pangkal jaya,Pangkal Jaya,SWASTA,Nanggung,Kab. Bogor,dikdas
60706960,MIS NURUL UMMAH,"Jl, Raya Ace Tabrani, Lukut Desa Parakanmuncang",Bantar Karet,SWASTA,Nanggung,Kab. Bogor,dikdas
60706953,MIS P U I,Kp.Lamping Ds. Sukaluyu Kec. Nanggung Kab. Bogor,Sukaluyu,SWASTA,Nanggung,Kab. Bogor,dikdas
60706954,MIS P U I AL HIDAYAH,Kp.Hambaro Rt 003/009,Sukaluyu,SWASTA,Nanggung,Kab. Bogor,dikdas
60706957,MIS P U I HAMBARO,Kp.Legok Kemang RT 01/06 Ds.Hambaro,Kalong Liud,SWASTA,Nanggung,Kab. Bogor,dikdas
60706955,MIS P U I I,Kp.Babakan RT 02/04 Ds. Curugbitung,Curug Bitung,SWASTA,Nanggung,Kab. Bogor,dikdas
60706959,MIS PUI BANAR,Kp. Banar 02/09 Ds. Nanggung Kab. Bogor Prov. Jawa Barat,Nanggung,SWASTA,Nanggung,Kab. Bogor,dikdas
60706956,MIS PUI BONGAS,Kp. Bongas RT 02/09,Kalong Liud,SWASTA,Nanggung,Kab. Bogor,dikdas
60706961,MIS PUI NURUL HUDA,Kp.Cikaung Rt.01 Rw.05,Bantar Karet,SWASTA,Nanggung,Kab. Bogor,dikdas
20277581,MTSS AL HIDAYAH,Kp.hambaro Rt 03/09,Hambaro,SWASTA,Nanggung,Kab. Bogor,dikdas
69725391,MTSS AWALIYAH PABANGBON,Jl.Raya Nanggung Km.07 Kp.Pabangbon,Nanggung,SWASTA,Nanggung,Kab. Bogor,dikdas
20277586,MTSS CENDEKIA MUSLIM,Jln Raya Ace Tabrani Desa Parakanmuncang,Parakan Muncang,SWASTA,Nanggung,Kab. Bogor,dikdas
69725390,MTSS DARUSSIBYAN,Kp. Peuteuytilu Rt.01 Rw.08,Kalong Liud,SWASTA,Nanggung,Kab. Bogor,dikdas
20277582,MTSS MATHLAUL ANWAR,Kp. Sawah Rt; 02/04,Sukaluyu,SWASTA,Nanggung,Kab. Bogor,dikdas
20277583,MTSS NURUL HIDAYAH,Kp.sidamulya Rt. 01/05,Cisarua,SWASTA,Nanggung,Kab. Bogor,dikdas
20277584,MTSS SABILIL MUTTAQIN,Jln. Ace Tabrani Km. 01 Kp.panyaungan Desa Batu Tulis,Parakan Muncang,SWASTA,Nanggung,Kab. Bogor,dikdas
69855636,SD IT AL-MUNAWWAR,Jl.Ace Tabrani Km 5 Kp.Pakapuran  RT 01 RW 06,Parakan Muncang,SWASTA,Nanggung,Kab. Bogor,dikdas
70046946,SD IT BUNDA GEMILANG,KP. PANGADUAN KUDA RT 001 RW 008,Pangkal Jaya,SWASTA,Nanggung,Kab. Bogor,dikdas
69972288,SD IT CENDEKIA MUSLIM,Kp. Kalongkramat RT001/001,Kalong Liud,SWASTA,Nanggung,Kab. Bogor,dikdas
20201184,SD NEGERI BANDASARI,Kp. Bojong Menteng Rt.03/03,Nanggung,NEGERI,Nanggung,Kab. Bogor,dikdas
20201320,SD NEGERI BANTARKARET 01,Kp.Sidempok Rt.03/06,Bantar Karet,NEGERI,Nanggung,Kab. Bogor,dikdas
20201183,SD NEGERI BANTARKARET 02,Kec. Nanggung,Bantar Karet,NEGERI,Nanggung,Kab. Bogor,dikdas
20201472,SD NEGERI CADASLEUEUR,Jalan Antam Pongkor KM 07 Cadas Leueur,Bantar Karet,NEGERI,Nanggung,Kab. Bogor,dikdas
20230462,SD NEGERI CIGUHA,Kp. Ciguha Rt. 01/12 Ds. Bantarkaret Kec. Nanggung,Bantar Karet,NEGERI,Nanggung,Kab. Bogor,dikdas
20201065,SD NEGERI CIKETUG,Kp Pangkalan,Pangkal Jaya,NEGERI,Nanggung,Kab. Bogor,dikdas
20201721,SD NEGERI CIPARAY,Kp.ciparay Rt.05/04,Cisarua,NEGERI,Nanggung,Kab. Bogor,dikdas
20201879,SD NEGERI CISARUA 01,Kp. Cihiris  RT. 01/01,Cisarua,NEGERI,Nanggung,Kab. Bogor,dikdas
20201882,SD NEGERI CISARUA 02,Kec. Nanggung,Cisarua,NEGERI,Nanggung,Kab. Bogor,dikdas
20201896,SD NEGERI CURUGBITUNG 01,Kp.cibeber Pasar Rt.02/06,Curug Bitung,NEGERI,Nanggung,Kab. Bogor,dikdas
20201897,SD NEGERI CURUGBITUNG 02,Kp. Talukwaru RT.02/12,Curug Bitung,NEGERI,Nanggung,Kab. Bogor,dikdas
20201898,SD NEGERI CURUGBITUNG 03,Kp. Cibeber Kulon  Rt.03/07,Curug Bitung,NEGERI,Nanggung,Kab. Bogor,dikdas
20201701,SD NEGERI GUNUNG DAHU,Kp. Gunungdahu Rt. 03/07,Bantar Karet,NEGERI,Nanggung,Kab. Bogor,dikdas
20201584,SD NEGERI HAMBARO 01,Kp. Pasir Tonggeret,Hambaro,NEGERI,Nanggung,Kab. Bogor,dikdas
20201585,SD NEGERI HAMBARO 02,Kp. Pabuaran,Hambaro,NEGERI,Nanggung,Kab. Bogor,dikdas
20201586,SD NEGERI HAMBARO 03,Kp.jeruk Rt.04/03,Sukaluyu,NEGERI,Nanggung,Kab. Bogor,dikdas
20201587,SD NEGERI HAMBARO 04,Kp. Dukuh,Sukaluyu,NEGERI,Nanggung,Kab. Bogor,dikdas
20230513,SD NEGERI HANDAYANI,Kp.Sibongkok RT 02 RW 01,Curug Bitung,NEGERI,Nanggung,Kab. Bogor,dikdas
20201535,SD NEGERI KALONG KAREES,Kp. Kalong Babakan,Kalong Liud,NEGERI,Nanggung,Kab. Bogor,dikdas
